                                                                            Episode  Line  Dialogue  Action
Character                                                                                                  
                                                                            1965     1965  1965      1965  
cat                                                                         6        6     6         6     
catalyst comet                                                              8        8     8         8     
celina                                                                      4        4     4         4     
charlie                                                                     2        2     2         2     
chatsberry                                                                  6        6     6         6     
chet                                                                        15       15    15        15    
chinchizerd                                                                 1        1     1         1     
chipler                                                                     1        1     1         1     
chipolina                                                                   3        3     3         3     
chipper                                                                     2        2     2         2     
chips                                                                       24       24    24        24    
chocoberry                                                                  11       11    11        11    
chocolate bar                                                               3        3     3         3     
choose bruce                                                                6        6     6         6     
choose goose                                                                18       18    18        18    
cinnamon bun                                                                116      116   116       116   
clock face                                                                  1        1     1         1     
cobbler                                                                     17       17    17        17    
coco bird vender                                                            1        1     1         1     
cow                                                                         10       10    10        10    
crab princess                                                               6        6     6         6     
crabbit                                                                     5        5     5         5     
cream puff gentleman                                                        10       10    10        10    
crowd                                                                       8        8     8         8     
crunchy                                                                     29       29    29        29    
cubby                                                                       8        8     8         8     
cute king                                                                   13       13    13        13    
cutie's first head                                                          3        3     3         3     
cutie's second head                                                         2        2     2         2     
cyclo                                                                       1        1     1         1     
cyclops                                                                     4        4     4         4     
dark magician                                                               9        9     9         9     
darren                                                                      19       19    19        19    
davey                                                                       27       27    27        27    
dewdrop                                                                     3        3     3         3     
different bmo                                                               1        1     1         1     
dirt beer guy                                                               30       30    30        30    
dmo                                                                         18       18    18        18    
doctor donut                                                                4        4     4         4     
doctor prince                                                               5        5     5         5     
doctor princess                                                             8        8     8         8     
dolphin                                                                     1        1     1         1     
don john                                                                    1        1     1         1     
donny                                                                       43       43    43        43    
donut guy                                                                   6        6     6         6     
door lord                                                                   9        9     9         9     
dr. donut                                                                   2        2     2         2     
dr. erik adamkinson                                                         9        9     9         9     
dr. erik adamkinson's father                                                2        2     2         2     
dr. ice cream                                                               10       10    10        10    
dr. j                                                                       2        2     2         2     
dr. princess                                                                12       12    12        12    
dragon                                                                      3        3     3         3     
dream jake                                                                  1        1     1         1     
dream jake (slowly)                                                         1        1     1         1     
driver                                                                      2        2     2         2     
duchess of nuts                                                             5        5     5         5     
duke of nuts                                                                22       22    22        22    
earl of lemongrab                                                           61       61    61        61    
eberhardt                                                                   5        5     5         5     
ed                                                                          31       31    31        31    
elder plops                                                                 16       16    16        16    
eleanor                                                                     1        1     1         1     
electroids                                                                  1        1     1         1     
emerald princess                                                            1        1     1         1     
empress                                                                     42       42    42        42    
engagement ring princess                                                    4        4     4         4     
erin                                                                        7        7     7         7     
ethel                                                                       22       22    22        22    
evacuation man                                                              3        3     3         3     
evergreen                                                                   27       27    27        27    
eyepatched criminal                                                         2        2     2         2     
fambo                                                                       1        1     1         1     
farmworld finn                                                              40       40    40        40    
farmworld marceline                                                         21       21    21        21    
farmworld simon                                                             5        5     5         5     
fear feaster                                                                21       21    21        21    
fern                                                                        14       14    14        14    
fight king                                                                  21       21    21        21    
finn                                                                        6888     6888  6888      6888  
finn & bear                                                                 1        1     1         1     
finn & bmo                                                                  2        2     2         2     
finn & fern                                                                 2        2     2         2     
finn & flame princess                                                       2        2     2         2     
finn & jake                                                                 162      162   162       162   
finn & jake                                                                 2        2     2         2     
finn & jake [in unison]                                                     3        3     3         3     
finn & jake [on voicemail]                                                  1        1     1         1     
finn & lumpy space princess                                                 1        1     1         1     
finn & marceline                                                            1        1     1         1     
finn & princess bubblegum                                                   3        3     3         3     
finn & tiffany                                                              1        1     1         1     
finn & tree trunks                                                          1        1     1         1     
finn & jake                                                                 1        1     1         1     
finn (in flashback)                                                         1        1     1         1     
finn (voiceover)                                                            1        1     1         1     
finn [back to normal]                                                       1        1     1         1     
finn [davey]                                                                1        1     1         1     
finn [flashback]                                                            1        1     1         1     
finn [fully transformed]                                                    1        1     1         1     
finn [in finn's thoughts]                                                   1        1     1         1     
finn [in flashback]                                                         1        1     1         1     
finn [on bmo's camera]                                                      2        2     2         2     
finn [on phone]                                                             3        3     3         3     
finn [on voicemail]                                                         1        1     1         1     
finn [voice-over]                                                           4        4     4         4     
finn [whispering still]                                                     1        1     1         1     
finn and flame princess                                                     1        1     1         1     
finn and jake                                                               85       85    85        85    
finn and jake [in unision]                                                  1        1     1         1     
finn and jake [in unison]                                                   5        5     5         5     
finn and jake together                                                      1        1     1         1     
finn and marceline                                                          1        1     1         1     
finn and princess bubblegum                                                 4        4     4         4     
finn and the squirrel                                                       1        1     1         1     
finn's father                                                               1        1     1         1     
finn's mom                                                                  2        2     2         2     
finn's mother                                                               3        3     3         3     
finn, flame princess, & jake                                                2        2     2         2     
finn, jake & bmo                                                            1        1     1         1     
finn, jake and lady                                                         1        1     1         1     
finn, jake and lumpy space princess                                         1        1     1         1     
finn, jake and princess bubblegum                                           1        1     1         1     
finn, jake and the ice king                                                 1        1     1         1     
finn, jake, & bmo                                                           3        3     3         3     
finn, jake, & ice king                                                      1        1     1         1     
finn, jake, & marceline                                                     1        1     1         1     
finn, jake, and ghosts                                                      1        1     1         1     
finn, jake, and princess bubblegum                                          2        2     2         2     
finn, jake, bmo, and banana man                                             1        1     1         1     
finn, jake, lumpy space princess, and bmo [in unison]                       1        1     1         1     
finn, lady                                                                  1        1     1         1     
fionna                                                                      108      108   108       108   
fionna and cake                                                             2        2     2         2     
fire newt                                                                   2        2     2         2     
fish                                                                        2        2     2         2     
flambo                                                                      18       18    18        18    
flashback jake                                                              1        1     1         1     
fool                                                                        5        5     5         5     
football                                                                    17       17    17        17    
forest cyclops                                                              10       10    10        10    
forest wizard                                                               18       18    18        18    
frog                                                                        11       11    11        11    
frozen yogurt princess                                                      1        1     1         1     
furnius                                                                     14       14    14        14    
furnius & torcho                                                            1        1     1         1     
future finn                                                                 2        2     2         2     
future jake                                                                 1        1     1         1     
fuzzy friends                                                               1        1     1         1     
gamergate                                                                   3        3     3         3     
garbage cube                                                                2        2     2         2     
gareth                                                                      10       10    10        10    
gary                                                                        3        3     3         3     
gate guardian                                                               7        7     7         7     
gatekeeper                                                                  1        1     1         1     
general tarsal                                                              12       12    12        12    
georgy                                                                      12       12    12        12    
giant insect monster                                                        1        1     1         1     
giant jake                                                                  1        1     1         1     
giant mutant                                                                1        1     1         1     
gingerbread actor                                                           1        1     1         1     
giraffe hyooman                                                             1        1     1         1     
glasses                                                                     3        3     3         3     
glob                                                                        8        8     8         8     
gnome ruler                                                                 13       13    13        13    
gob                                                                         6        6     6         6     
goji berry man                                                              6        6     6         6     
golem                                                                       1        1     1         1     
goliad                                                                      21       21    21        21    
goose                                                                       15       15    15        15    
gork                                                                        14       14    14        14    
grand master wizard                                                         27       27    27        27    
grand master wizard & ron james                                             1        1     1         1     
grass lard                                                                  4        4     4         4     
grass person                                                                1        1     1         1     
green bmo                                                                   1        1     1         1     
gridface princess                                                           1        1     1         1     
grimby                                                                      2        2     2         2     
grob                                                                        4        4     4         4     
grob gob glob grod                                                          18       18    18        18    
grod                                                                        3        3     3         3     
guardian angel                                                              10       10    10        10    
gummy                                                                       38       38    38        38    
gunter                                                                      43       43    43        43    
gunthalina                                                                  1        1     1         1     
gunther                                                                     27       27    27        27    
hag                                                                         5        5     5         5     
hair ape                                                                    4        4     4         4     
hallucination of princess bubblegum                                         1        1     1         1     
halt                                                                        1        1     1         1     
ham sandwich                                                                1        1     1         1     
hambo                                                                       3        3     3         3     
hat                                                                         2        2     2         2     
head clown nurse                                                            12       12    12        12    
hierophant                                                                  23       23    23        23    
hobo                                                                        1        1     1         1     
hobos                                                                       1        1     1         1     
holo-pendant                                                                3        3     3         3     
host                                                                        4        4     4         4     
hot dog princess                                                            5        5     5         5     
howard                                                                      3        3     3         3     
huge king                                                                   7        7     7         7     
hunny bunny                                                                 1        1     1         1     
huntress wizard                                                             2        2     2         2     
hyoomans                                                                    2        2     2         2     
hyperion                                                                    1        1     1         1     
ice cream                                                                   24       24    24        24    
ice imp                                                                     3        3     3         3     
ice king & abracadaniel                                                     1        1     1         1     
ice king & marceline                                                        2        2     2         2     
ice king (party god)                                                        7        7     7         7     
ice king and abracadaniel                                                   1        1     1         1     
ice queen                                                                   9        9     9         9     
ice thing                                                                   1        1     1         1     
ice toads                                                                   1        1     1         1     
imaginary finn & jake                                                       1        1     1         1     
imaginary neptr                                                             2        2     2         2     
immortal maize walker                                                       2        2     2         2     
isla de señorita                                                            38       38    38        38    
jake                                                                        4970     4970  4970      4970  
jake & banana man                                                           1        1     1         1     
jake & bmo                                                                  1        1     1         1     
jake & his subconscious                                                     1        1     1         1     
jake & lady                                                                 1        1     1         1     
jake & punch bowl                                                           1        1     1         1     
jake & tree trunks                                                          1        1     1         1     
jake (in flashback)                                                         3        3     3         3     
jake (voiceover)                                                            1        1     1         1     
jake [as magic man]                                                         1        1     1         1     
jake [as sandwich puppet]                                                   1        1     1         1     
jake [fake finn]                                                            11       11    11        11    
jake [in bmo's dream]                                                       1        1     1         1     
jake [in flashback]                                                         3        3     3         3     
jake [koala]                                                                1        1     1         1     
jake [offscreen]                                                            1        1     1         1     
jake [on phone]                                                             2        2     2         2     
jake [on voicemail]                                                         1        1     1         1     
jake [the one watching the video]                                           1        1     1         1     
jake [voice-over]                                                           1        1     1         1     
jake and finn                                                               1        1     1         1     
jake and princess bubblegum                                                 1        1     1         1     
jake as finn                                                                1        1     1         1     
jake jr.                                                                    30       30    30        30    
jake person                                                                 2        2     2         2     
jake's elbow                                                                1        1     1         1     
jake's subconscious                                                         7        7     7         7     
jalapeño pepper                                                             12       12    12        12    
jam jam                                                                     3        3     3         3     
jamaica                                                                     7        7     7         7     
james                                                                       25       25    25        25    
james baxter                                                                4        4     4         4     
jay                                                                         5        5     5         5     
jay & bonnie                                                                4        4     4         4     
jaybird                                                                     9        9     9         9     
jaybird & dr. j                                                             1        1     1         1     
jermaine                                                                    9        9     9         9     
jerry                                                                       3        3     3         3     
jiggler                                                                     4        4     4         4     
john                                                                        6        6     6         6     
johnnie                                                                     33       33    33        33    
jordan                                                                      2        2     2         2     
jordan's head                                                               1        1     1         1     
kee-oth                                                                     37       37    37        37    
kenneth                                                                     5        5     5         5     
kenneth, banana guard, nurse pound cake & science                           1        1     1         1     
kent                                                                        32       32    32        32    
key-per                                                                     8        8     8         8     
kidnapper                                                                   6        6     6         6     
kim                                                                         6        6     6         6     
kim kil whan                                                                30       30    30        30    
king man                                                                    8        8     8         8     
king of ooo                                                                 101      101   101       101   
king of ooo & toronto                                                       2        2     2         2     
krusty                                                                      1        1     1         1     
lady                                                                        56       56    56        56    
lady and finn                                                               1        1     1         1     
lady rainicorn                                                              59       59    59        59    
lady, finn                                                                  1        1     1         1     
ladybug kid                                                                 1        1     1         1     
ladybug lady                                                                1        1     1         1     
large prisoner                                                              2        2     2         2     
lauren                                                                      6        6     6         6     
lawyer                                                                      1        1     1         1     
leaf                                                                        1        1     1         1     
leaf beard                                                                  8        8     8         8     
legs                                                                        3        3     3         3     
lemon camel                                                                 1        1     1         1     
lemon children                                                              1        1     1         1     
lemon head                                                                  1        1     1         1     
lemon person                                                                2        2     2         2     
lemongrab                                                                   126      126   126       126   
lemongrab 2                                                                 45       45    45        45    
lemongrab 3                                                                 3        3     3         3     
lemongrab clone                                                             7        7     7         7     
lemongrabs                                                                  2        2     2         2     
lemonhope                                                                   49       49    49        49    
lemonjon                                                                    8        8     8         8     
lenny                                                                       7        7     7         7     
lenny the beaver                                                            1        1     1         1     
lester                                                                      2        2     2         2     
limo driver                                                                 1        1     1         1     
lisby                                                                       6        6     6         6     
little buddy                                                                6        6     6         6     
little dude                                                                 16       16    16        16    
little finn                                                                 1        1     1         1     
lizard                                                                      1        1     1         1     
lizard princess                                                             2        2     2         2     
lolly                                                                       3        3     3         3     
long-haired nymph                                                           4        4     4         4     
long-legged tenant                                                          1        1     1         1     
lord monochromicorn                                                         1        1     1         1     
lord of evil                                                                33       33    33        33    
loudspeaker                                                                 1        1     1         1     
love buddies                                                                1        1     1         1     
lumpy space king                                                            11       11    11        11    
lumpy space prince                                                          51       51    51        51    
lumpy space princess & marceline                                            1        1     1         1     
lumpy space queen                                                           15       15    15        15    
mabel                                                                       1        1     1         1     
maja                                                                        35       35    35        35    
manfried                                                                    17       17    17        17    
mannish man                                                                 7        7     7         7     
marc                                                                        1        1     1         1     
marcelince                                                                  1        1     1         1     
marceline                                                                   547      547   547       547   
marceline and ghosts                                                        1        1     1         1     
marceline's mom                                                             4        4     4         4     
marcy                                                                       42       42    42        42    
marhsall lee                                                                1        1     1         1     
maria                                                                       2        2     2         2     
marquis of nuts                                                             3        3     3         3     
marshall lee                                                                25       25    25        25    
martin                                                                      94       94    94        94    
matthew                                                                     13       13    13        13    
mayor                                                                       7        7     7         7     
me-mow                                                                      44       44    44        44    
melissa                                                                     9        9     9         9     
messenger                                                                   6        6     6         6     
middle penguin                                                              1        1     1         1     
mildwin                                                                     6        6     6         6     
mini-snowman                                                                1        1     1         1     
minstrel                                                                    1        1     1         1     
mo                                                                          27       27    27        27    
mo (os)                                                                     1        1     1         1     
moe                                                                         16       16    16        16    
moldo                                                                       6        6     6         6     
moldos                                                                      2        2     2         2     
mom                                                                         6        6     6         6     
momma bear                                                                  6        6     6         6     
monster                                                                     6        6     6         6     
monster ghost                                                               6        6     6         6     
monty                                                                       8        8     8         8     
morrow                                                                      1        1     1         1     
morty rogers                                                                27       27    27        27    
mos                                                                         1        1     1         1     
mother                                                                      5        5     5         5     
mother rabbit                                                               1        1     1         1     
mountain 2                                                                  2        2     2         2     
mountain man                                                                17       17    17        17    
mouse thief                                                                 3        3     3         3     
mr fox                                                                      1        1     1         1     
mr pig                                                                      8        8     8         8     
mr. b                                                                       1        1     1         1     
mr. candy cane                                                              4        4     4         4     
mr. cupcake                                                                 20       20    20        20    
mr. fox                                                                     18       18    18        18    
mr. goose                                                                   3        3     3         3     
mr. pig                                                                     37       37    37        37    
mr. pig & tree trunks                                                       2        2     2         2     
mr. pig and tree trunks                                                     1        1     1         1     
mr. pig's relative                                                          2        2     2         2     
mr. x                                                                       1        1     1         1     
mrs. gumdrop                                                                1        1     1         1     
mrs. james                                                                  1        1     1         1     
mrs. yoder                                                                  2        2     2         2     
mudscamp                                                                    4        4     4         4     
muscle princess                                                             11       11    11        11    
mushroom mayor                                                              2        2     2         2     
music hole                                                                  1        1     1         1     
mustache                                                                    4        4     4         4     
mustache [davey]                                                            1        1     1         1     
narrator                                                                    6026     6026  6026      6026  
neptr                                                                       95       95    95        95    
nightosphere jailer                                                         11       11    11        11    
normal man                                                                  8        8     8         8     
nurse pound cake                                                            10       10    10        10    
nymph                                                                       5        5     5         5     
nymphs                                                                      1        1     1         1     
oculus                                                                      1        1     1         1     
off screen                                                                  1        1     1         1     
ogdoad                                                                      8        8     8         8     
ogre                                                                        9        9     9         9     
old guy                                                                     1        1     1         1     
old lady                                                                    14       14    14        14    
old lady in eye                                                             3        3     3         3     
old lady princess                                                           7        7     7         7     
old man henchman                                                            5        5     5         5     
old man prisoner                                                            2        2     2         2     
old pizza person                                                            2        2     2         2     
older bear                                                                  2        2     2         2     
older brother                                                               2        2     2         2     
one balloon                                                                 2        2     2         2     
orange bmo                                                                  1        1     1         1     
orange lemon child                                                          1        1     1         1     
orb                                                                         2        2     2         2     
orgalorg                                                                    14       14    14        14    
other bear                                                                  1        1     1         1     
other bee people                                                            1        1     1         1     
other gnomes                                                                1        1     1         1     
other heads                                                                 1        1     1         1     
other pagelings                                                             1        1     1         1     
other performer                                                             2        2     2         2     
owl                                                                         5        5     5         5     
pagelings                                                                   8        8     8         8     
pajamas                                                                     3        3     3         3     
pan                                                                         7        7     7         7     
pants                                                                       1        1     1         1     
paper pete                                                                  24       24    24        24    
party bear                                                                  1        1     1         1     
party god                                                                   27       27    27        27    
party pat                                                                   16       16    16        16    
past finn                                                                   5        5     5         5     
past jake                                                                   1        1     1         1     
pb                                                                          1        1     1         1     
peace master                                                                31       31    31        31    
peace master's daughter                                                     3        3     3         3     
peace master's son                                                          5        5     5         5     
peanut child                                                                2        2     2         2     
peanut princess                                                             3        3     3         3     
penny                                                                       28       28    28        28    
person & jake                                                               1        1     1         1     
person and jake                                                             1        1     1         1     
pete sassafras                                                              6        6     6         6     
petey                                                                       3        3     3         3     
phil                                                                        3        3     3         3     
phlannel boxingday                                                          20       20    20        20    
pictured jake                                                               1        1     1         1     
pincer beetle                                                               1        1     1         1     
pirate                                                                      2        2     2         2     
plop-top                                                                    1        1     1         1     
porcupine                                                                   6        6     6         6     
president porpoise                                                          1        1     1         1     
primo                                                                       2        2     2         2     
prince gumball                                                              44       44    44        44    
prince huge                                                                 3        3     3         3     
princes bubblegum                                                           2        2     2         2     
princess                                                                    1        1     1         1     
princess and lady                                                           1        1     1         1     
princess beautiful                                                          3        3     3         3     
princess bubblegum                                                          1212     1212  1212      1212  
princess bubblegum [finn's mind]                                            2        2     2         2     
princess bubblegum [hologram]                                               4        4     4         4     
princess bubblegum [in finn's mind]                                         1        1     1         1     
princess bubblegum [in real world]                                          1        1     1         1     
princess bubblegum [in video]                                               1        1     1         1     
princess bubblegum [voice-over]                                             2        2     2         2     
princess bubblegum bot                                                      5        5     5         5     
princess bubblegum's hand                                                   1        1     1         1     
princess bubblegum's voice [in finn's head]                                 2        2     2         2     
princess bubblegum, finn & jake                                             1        1     1         1     
princess bubblegum, jake, and finn                                          1        1     1         1     
princess bubblegums                                                         1        1     1         1     
princess bubblegun                                                          1        1     1         1     
princess bubblgum                                                           1        1     1         1     
princess monster wife                                                       17       17    17        17    
princess monster wife's spirit                                              1        1     1         1     
princess princess princess                                                  2        2     2         2     
princess zip                                                                1        1     1         1     
princesses                                                                  4        4     4         4     
priscus                                                                     1        1     1         1     
prismo & cosmic owl                                                         1        1     1         1     
prismo & jake                                                               2        2     2         2     
private                                                                     3        3     3         3     
puppy jake                                                                  1        1     1         1     
pups                                                                        2        2     2         2     
purple bmo                                                                  1        1     1         1     
queen                                                                       1        1     1         1     
quilton                                                                     13       13    13        13    
rabbit hyooman                                                              1        1     1         1     
raccoon                                                                     14       14    14        14    
raggedy princess                                                            8        8     8         8     
rainy                                                                       1        1     1         1     
randy                                                                       16       16    16        16    
rap bear                                                                    4        4     4         4     
rasheeta                                                                    6        6     6         6     
rat king                                                                    6        6     6         6     
rattleballs                                                                 28       28    28        28    
reaper                                                                      5        5     5         5     
receptor                                                                    2        2     2         2     
red bmo                                                                     1        1     1         1     
red gnome                                                                   6        6     6         6     
red snake                                                                   10       10    10        10    
red-tie businessman                                                         19       19    19        19    
ricardio                                                                    37       37    37        37    
riddle master                                                               5        5     5         5     
ringmaster                                                                  15       15    15        15    
ron james                                                                   20       20    20        20    
root beer guy                                                               39       39    39        39    
root beer guy's boss                                                        1        1     1         1     
rose                                                                        1        1     1         1     
roselinen                                                                   14       14    14        14    
royal speech-taker                                                          1        1     1         1     
royal tart toter                                                            2        2     2         2     
rutuba                                                                      2        2     2         2     
samantha                                                                    10       10    10        10    
scorpion                                                                    3        3     3         3     
second peppermint head                                                      1        1     1         1     
seven                                                                       1        1     1         1     
shadow horse                                                                1        1     1         1     
sharon                                                                      2        2     2         2     
shelby                                                                      54       54    54        54    
sheriff                                                                     1        1     1         1     
shermy                                                                      36       36    36        36    
shoko                                                                       31       31    31        31    
shop owner                                                                  1        1     1         1     
short-haired nymph                                                          2        2     2         2     
simon/marcy                                                                 2        2     2         2     
sir slicer                                                                  13       13    13        13    
skull                                                                       3        3     3         3     
sleepy sam                                                                  5        5     5         5     
slime people                                                                7        7     7         7     
slime princess                                                              57       57    57        57    
slimy d                                                                     1        1     1         1     
slug lady                                                                   1        1     1         1     
smudge                                                                      1        1     1         1     
snapdragon                                                                  1        1     1         1     
snorlock                                                                    39       39    39        39    
snow golem                                                                  15       15    15        15    
snow monster                                                                1        1     1         1     
snowball                                                                    2        2     2         2     
snowman priest                                                              2        2     2         2     
space angel princess                                                        1        1     1         1     
spiky mayor                                                                 10       10    10        10    
squeeze-e-mart boss                                                         1        1     1         1     
squid bartender                                                             1        1     1         1     
star man                                                                    7        7     7         7     
stonesy                                                                     2        2     2         2     
stranson doughblow                                                          2        2     2         2     
strawberry guard                                                            10       10    10        10    
strongman                                                                   4        4     4         4     
strudel princess                                                            3        3     3         3     
sub-conscious mr. fox                                                       1        1     1         1     
sue                                                                         2        2     2         2     
sugar cube                                                                  2        2     2         2     
sun                                                                         1        1     1         1     
suspect                                                                     2        2     2         2     
suzy                                                                        2        2     2         2     
suzy & sue                                                                  3        3     3         3     
swamp giant                                                                 7        7     7         7     
swan                                                                        1        1     1         1     
sweet p                                                                     54       54    54        54    
taddle                                                                      2        2     2         2     
taddle and grimby                                                           1        1     1         1     
tadpole                                                                     1        1     1         1     
tea robot                                                                   1        1     1         1     
teenage bear                                                                4        4     4         4     
teenage marceline                                                           1        1     1         1     
teller                                                                      1        1     1         1     
the beast                                                                   3        3     3         3     
the dead one                                                                1        1     1         1     
the farm                                                                    5        5     5         5     
the hierophant                                                              4        4     4         4     
the mom                                                                     2        2     2         2     
the morrow                                                                  1        1     1         1     
the three guardians                                                         1        1     1         1     
the train                                                                   5        5     5         5     
theater troupe                                                              1        1     1         1     
theater troupe leader                                                       1        1     1         1     
theater troupe member                                                       1        1     1         1     
thief                                                                       3        3     3         3     
three-pronged lemon child                                                   1        1     1         1     
tiffany                                                                     44       44    44        44    
tiffany and jake                                                            1        1     1         1     
tiffany, gareth and the flying lettuce brothers                             1        1     1         1     
tim                                                                         3        3     3         3     
time card                                                                   1        1     1         1     
tiny manticore                                                              14       14    14        14    
toad                                                                        2        2     2         2     
toast princess                                                              1        1     1         1     
tonya                                                                       10       10    10        10    
torcho                                                                      7        7     7         7     
toronto                                                                     22       22    22        22    
toughy                                                                      4        4     4         4     
trami                                                                       10       10    10        10    
trami & tromo                                                               1        1     1         1     
transparent finn                                                            2        2     2         2     
tree stump                                                                  5        5     5         5     
tree trunks & mr. pig                                                       2        2     2         2     
tree trunks' mother                                                         2        2     2         2     
triumphus                                                                   1        1     1         1     
tromo                                                                       13       13    13        13    
trudy                                                                       1        1     1         1     
tuber                                                                       4        4     4         4     
ugly monster                                                                5        5     5         5     
urchin                                                                      3        3     3         3     
ursula                                                                      3        3     3         3     
verus                                                                       1        1     1         1     
video game                                                                  1        1     1         1     
viola                                                                       4        4     4         4     
void caster                                                                 1        1     1         1     
vulture                                                                     2        2     2         2     
warrior princess                                                            1        1     1         1     
well                                                                        1        1     1         1     
wendy                                                                       9        9     9         9     
wendy, booboo and georgy                                                    1        1     1         1     
wheel                                                                       2        2     2         2     
whisper dan                                                                 2        2     2         2     
window                                                                      1        1     1         1     
wormo                                                                       8        8     8         8     
wyatt                                                                       15       15    15        15    
xergiok                                                                     65       65    65        65    
yellow bmo                                                                  1        1     1         1     
young marceline                                                             4        4     4         4     
zap                                                                         4        4     4         4     
