                                                                            Episode  Line  Dialogue  Action
Character                                                                                                  
                                                                            1965     1965  1965      1965  
blood demon                                                                 2        2     2         2     
blood demon [on tape]                                                       2        2     2         2     
blue bmo                                                                    1        1     1         1     
blueberry cop 1                                                             3        3     3         3     
blueberry cop 2 (jimmy)                                                     1        1     1         1     
bmo                                                                         633      633   633       633   
bmo & bubble                                                                1        1     1         1     
bmo (flashback)                                                             1        1     1         1     
bmo (os)                                                                    1        1     1         1     
bmo (vo)                                                                    1        1     1         1     
bmo [as bebe]                                                               5        5     5         5     
bmo [as lorraine]                                                           12       12    12        12    
bmo [as officer davis]                                                      5        5     5         5     
bmo [as ronnie, deeper voice]                                               1        1     1         1     
bmo [as ronnie]                                                             6        6     6         6     
bmo [flashback]                                                             1        1     1         1     
bmo [in its thoughts]                                                       1        1     1         1     
bmo [narrating]                                                             3        3     3         3     
boat demon                                                                  7        7     7         7     
bob                                                                         18       18    18        18    
bob and ethel                                                               1        1     1         1     
boilbee                                                                     7        7     7         7     
boney                                                                       9        9     9         9     
bonnie                                                                      4        4     4         4     
boobafina                                                                   8        8     8         8     
boobafina and mr. fox                                                       1        1     1         1     
booboo                                                                      9        9     9         9     
book                                                                        2        2     2         2     
booko                                                                       2        2     2         2     
boss                                                                        12       12    12        12    
both                                                                        25       25    25        25    
both finn and jake                                                          1        1     1         1     
both prismo and jake                                                        1        1     1         1     
both finn and jake                                                          1        1     1         1     
bounce house princess                                                       10       10    10        10    
box prince                                                                  3        3     3         3     
box prince #2                                                               1        1     1         1     
boy ant                                                                     2        2     2         2     
braco                                                                       45       45    45        45    
braco's father                                                              1        1     1         1     
brad                                                                        2        2     2         2     
brain wizard                                                                2        2     2         2     
breakfast princess                                                          13       13    13        13    
breezy                                                                      27       27    27        27    
broom store owner                                                           3        3     3         3     
brown bird                                                                  1        1     1         1     
brown-haired witch                                                          1        1     1         1     
bubble                                                                      36       36    36        36    
bubble/air                                                                  1        1     1         1     
bubblegum                                                                   11       11    11        11    
buck pudding                                                                5        5     5         5     
bucket knight                                                               7        7     7         7     
bufo                                                                        43       43    43        43    
bufo, the forest wizard, and the laser wizard                               1        1     1         1     
bug                                                                         9        9     9         9     
bug and fly in unison                                                       1        1     1         1     
bugs                                                                        1        1     1         1     
building                                                                    1        1     1         1     
bus                                                                         1        1     1         1     
bush                                                                        7        7     7         7     
businessman                                                                 1        1     1         1     
businessmen                                                                 4        4     4         4     
butterfly                                                                   1        1     1         1     
butterfly bandit                                                            1        1     1         1     
cactus creature                                                             3        3     3         3     
cake                                                                        48       48    48        48    
cake person                                                                 1        1     1         1     
cake person [shattered]                                                     2        2     2         2     
camera                                                                      1        1     1         1     
candy baby                                                                  1        1     1         1     
candy bonnibel                                                              2        2     2         2     
candy butler                                                                1        1     1         1     
candy child                                                                 4        4     4         4     
candy child (terry)                                                         3        3     3         3     
candy child 2                                                               4        4     4         4     
candy child 3                                                               2        2     2         2     
candy children                                                              3        3     3         3     
candy crowd                                                                 1        1     1         1     
candy dude                                                                  1        1     1         1     
candy gardener #1                                                           2        2     2         2     
candy gardener #2                                                           2        2     2         2     
candy magician                                                              1        1     1         1     
candy mother                                                                2        2     2         2     
candy nanny                                                                 1        1     1         1     
candy people                                                                19       19    19        19    
candy person                                                                7        7     7         7     
candy person #1                                                             7        7     7         7     
candy person #103                                                           1        1     1         1     
candy person #15                                                            1        1     1         1     
candy person #24                                                            1        1     1         1     
candy person #29                                                            2        2     2         2     
candy person #33                                                            1        1     1         1     
candy person 1                                                              2        2     2         2     
candy person 2                                                              2        2     2         2     
candy person 3                                                              1        1     1         1     
candy sheriff                                                               2        2     2         2     
candy soldier                                                               2        2     2         2     
candy soldiers                                                              4        4     4         4     
candy tavern person                                                         1        1     1         1     
canyon                                                                      14       14    14        14    
carla                                                                       2        2     2         2     
carroll                                                                     13       13    13        13    
cat                                                                         6        6     6         6     
catalyst comet                                                              8        8     8         8     
caterpillar                                                                 2        2     2         2     
celina                                                                      4        4     4         4     
charlie                                                                     2        2     2         2     
chatsberry                                                                  6        6     6         6     
cherry blossom ghost                                                        1        1     1         1     
cherry cream soda                                                           25       25    25        25    
chery cream soda                                                            17       17    17        17    
cheryl                                                                      9        9     9         9     
cheryl (recording)                                                          1        1     1         1     
chet                                                                        15       15    15        15    
chinchizerd                                                                 1        1     1         1     
chipler                                                                     1        1     1         1     
chipolina                                                                   3        3     3         3     
chipper                                                                     2        2     2         2     
chips                                                                       24       24    24        24    
chocoberry                                                                  11       11    11        11    
chocolate bar                                                               3        3     3         3     
choose bruce                                                                6        6     6         6     
choose goose                                                                18       18    18        18    
cinnamon bun                                                                116      116   116       116   
citizens                                                                    3        3     3         3     
clarence                                                                    21       21    21        21    
clarence [in flashback]                                                     3        3     3         3     
clock face                                                                  1        1     1         1     
clone james                                                                 14       14    14        14    
clone james i                                                               5        5     5         5     
clone james ii&iii                                                          1        1     1         1     
clone james iv                                                              1        1     1         1     
clone james v                                                               1        1     1         1     
clone james vi                                                              4        4     4         4     
cloud                                                                       3        3     3         3     
cloud dance                                                                 4        4     4         4     
cloud kid 1                                                                 1        1     1         1     
cloud kid 2                                                                 1        1     1         1     
cloud man                                                                   2        2     2         2     
cloud man 1                                                                 1        1     1         1     
cloud man 2                                                                 1        1     1         1     
cloud woman 2                                                               1        1     1         1     
clown                                                                       1        1     1         1     
coal man                                                                    2        2     2         2     
cobbler                                                                     17       17    17        17    
coco bird vender                                                            1        1     1         1     
colonel candy corn                                                          32       32    32        32    
comic owl                                                                   1        1     1         1     
commander                                                                   3        3     3         3     
conductor                                                                   5        5     5         5     
conductor over intercom                                                     1        1     1         1     
cookie                                                                      42       42    42        42    
cookie [voiceover]                                                          1        1     1         1     
cosmic owl                                                                  61       61    61        61    
cow                                                                         10       10    10        10    
crab demon                                                                  9        9     9         9     
crab princess                                                               6        6     6         6     
crabbit                                                                     5        5     5         5     
cream puff gentleman                                                        10       10    10        10    
creature                                                                    5        5     5         5     
creature 2                                                                  1        1     1         1     
creature 3                                                                  1        1     1         1     
criminal 1                                                                  1        1     1         1     
criminal 2                                                                  1        1     1         1     
criminal 3                                                                  1        1     1         1     
crossbow guy                                                                1        1     1         1     
crowd                                                                       8        8     8         8     
crunchy                                                                     29       29    29        29    
crystal guardian #1                                                         4        4     4         4     
crystal guardian #2                                                         3        3     3         3     
crystal guardian #3                                                         16       16    16        16    
crystal guardian #3?                                                        1        1     1         1     
crystal guardian finn                                                       3        3     3         3     
crystal guardian jake                                                       5        5     5         5     
crystal guardians                                                           2        2     2         2     
cubby                                                                       8        8     8         8     
cube people                                                                 1        1     1         1     
cube person #1                                                              4        4     4         4     
cube person #2                                                              3        3     3         3     
cuber                                                                       28       28    28        28    
cuber (baby)                                                                3        3     3         3     
customer                                                                    2        2     2         2     
cute king                                                                   13       13    13        13    
cutie's first head                                                          3        3     3         3     
cutie's second head                                                         2        2     2         2     
cyclo                                                                       1        1     1         1     
cyclops                                                                     4        4     4         4     
dad bug                                                                     2        2     2         2     
dancing beetle                                                              1        1     1         1     
dark magician                                                               9        9     9         9     
darren                                                                      19       19    19        19    
davey                                                                       27       27    27        27    
death                                                                       29       29    29        29    
demon                                                                       1        1     1         1     
demon cat                                                                   10       10    10        10    
demon dad                                                                   1        1     1         1     
demon in crowd                                                              1        1     1         1     
demon in crowd #2                                                           1        1     1         1     
demon in line                                                               1        1     1         1     
denise                                                                      1        1     1         1     
destiny gang                                                                1        1     1         1     
dewdrop                                                                     3        3     3         3     
different bmo                                                               1        1     1         1     
dirt beer guy                                                               30       30    30        30    
dmo                                                                         18       18    18        18    
doctor donut                                                                4        4     4         4     
doctor prince                                                               5        5     5         5     
doctor princess                                                             8        8     8         8     
dog                                                                         2        2     2         2     
dolphin                                                                     1        1     1         1     
don john                                                                    1        1     1         1     
donny                                                                       43       43    43        43    
donut guy                                                                   6        6     6         6     
door lord                                                                   9        9     9         9     
dr. donut                                                                   2        2     2         2     
dr. erik adamkinson                                                         9        9     9         9     
dr. erik adamkinson's father                                                2        2     2         2     
dr. ice cream                                                               10       10    10        10    
dr. j                                                                       2        2     2         2     
dr. princess                                                                12       12    12        12    
dragon                                                                      3        3     3         3     
dream jake                                                                  1        1     1         1     
dream jake (slowly)                                                         1        1     1         1     
dream warrior                                                               9        9     9         9     
dream warrior [flashback]                                                   1        1     1         1     
driver                                                                      2        2     2         2     
duchess of nuts                                                             5        5     5         5     
duke of nuts                                                                22       22    22        22    
dumb rock                                                                   2        2     2         2     
earl of lemongrab                                                           61       61    61        61    
eberhardt                                                                   5        5     5         5     
ed                                                                          31       31    31        31    
elder plops                                                                 16       16    16        16    
eleanor                                                                     1        1     1         1     
electroids                                                                  1        1     1         1     
emerald princess                                                            1        1     1         1     
empress                                                                     42       42    42        42    
engagement ring princess                                                    4        4     4         4     
erin                                                                        7        7     7         7     
ethel                                                                       22       22    22        22    
evacuation man                                                              3        3     3         3     
evergreen                                                                   27       27    27        27    
everyone                                                                    3        3     3         3     
everyone else                                                               2        2     2         2     
everyone except mrs. cow                                                    1        1     1         1     
eyepatched criminal                                                         2        2     2         2     
fambo                                                                       1        1     1         1     
farmer                                                                      5        5     5         5     
farmer #2                                                                   1        1     1         1     
farmworld finn                                                              40       40    40        40    
farmworld marceline                                                         21       21    21        21    
farmworld simon                                                             5        5     5         5     
fat villager                                                                10       10    10        10    
fat villager #1                                                             1        1     1         1     
fat villager #2                                                             1        1     1         1     
fat villager #3                                                             1        1     1         1     
fat villager #4                                                             1        1     1         1     
fat villagers                                                               7        7     7         7     
fear feaster                                                                21       21    21        21    
female fat villager                                                         1        1     1         1     
female flame person                                                         2        2     2         2     
female worker                                                               5        5     5         5     
fern                                                                        14       14    14        14    
fight king                                                                  21       21    21        21    
figure                                                                      3        3     3         3     
fine lady                                                                   4        4     4         4     
finn                                                                        6888     6888  6888      6888  
finn & bear                                                                 1        1     1         1     
finn & bmo                                                                  2        2     2         2     
finn & fern                                                                 2        2     2         2     
finn & flame princess                                                       2        2     2         2     
finn & jake                                                                 162      162   162       162   
finn & jake                                                                 2        2     2         2     
finn & jake [in unison]                                                     3        3     3         3     
finn & jake [on voicemail]                                                  1        1     1         1     
finn & lumpy space princess                                                 1        1     1         1     
finn & marceline                                                            1        1     1         1     
finn & princess bubblegum                                                   3        3     3         3     
finn & tiffany                                                              1        1     1         1     
finn & tree trunks                                                          1        1     1         1     
finn & jake                                                                 1        1     1         1     
finn (in flashback)                                                         1        1     1         1     
finn (voiceover)                                                            1        1     1         1     
finn [back to normal]                                                       1        1     1         1     
finn [davey]                                                                1        1     1         1     
finn [flashback]                                                            1        1     1         1     
finn [fully transformed]                                                    1        1     1         1     
finn [in finn's thoughts]                                                   1        1     1         1     
finn [in flashback]                                                         1        1     1         1     
finn [on bmo's camera]                                                      2        2     2         2     
finn [on phone]                                                             3        3     3         3     
finn [on voicemail]                                                         1        1     1         1     
finn [voice-over]                                                           4        4     4         4     
finn [whispering still]                                                     1        1     1         1     
finn and flame princess                                                     1        1     1         1     
finn and jake                                                               85       85    85        85    
finn and jake [in unision]                                                  1        1     1         1     
finn and jake [in unison]                                                   5        5     5         5     
finn and jake together                                                      1        1     1         1     
finn and marceline                                                          1        1     1         1     
finn and princess bubblegum                                                 4        4     4         4     
finn and the squirrel                                                       1        1     1         1     
finn's father                                                               1        1     1         1     
finn's mom                                                                  2        2     2         2     
finn's mother                                                               3        3     3         3     
finn, flame princess, & jake                                                2        2     2         2     
finn, jake & bmo                                                            1        1     1         1     
finn, jake and lady                                                         1        1     1         1     
finn, jake and lumpy space princess                                         1        1     1         1     
finn, jake and princess bubblegum                                           1        1     1         1     
finn, jake and the ice king                                                 1        1     1         1     
finn, jake, & bmo                                                           3        3     3         3     
finn, jake, & ice king                                                      1        1     1         1     
finn, jake, & marceline                                                     1        1     1         1     
finn, jake, and ghosts                                                      1        1     1         1     
finn, jake, and princess bubblegum                                          2        2     2         2     
finn, jake, bmo, and banana man                                             1        1     1         1     
finn, jake, lumpy space princess, and bmo [in unison]                       1        1     1         1     
finn, lady                                                                  1        1     1         1     
fionna                                                                      108      108   108       108   
fionna and cake                                                             2        2     2         2     
fire denizens 1                                                             2        2     2         2     
fire denizens 2                                                             2        2     2         2     
fire newt                                                                   2        2     2         2     
fish                                                                        2        2     2         2     
flambo                                                                      18       18    18        18    
flame guard                                                                 7        7     7         7     
flame guard #1                                                              5        5     5         5     
flame guard #2                                                              2        2     2         2     
flame guards                                                                7        7     7         7     
flame jester                                                                1        1     1         1     
flame king                                                                  65       65    65        65    
flame lord                                                                  21       21    21        21    
flame messenger                                                             1        1     1         1     
flame people                                                                6        6     6         6     
flame person                                                                10       10    10        10    
flame prince, turtle prince, marshal lee, and prince gumball                1        1     1         1     
flame princess                                                              265      265   265       265   
flame princess                                                              1        1     1         1     
flame princess' older brother                                               7        7     7         7     
flashback jake                                                              1        1     1         1     
flashback margaret                                                          2        2     2         2     
fluffy person                                                               5        5     5         5     
fly                                                                         3        3     3         3     
flying lettuce brother                                                      1        1     1         1     
flying lettuce brothers                                                     13       13    13        13    
fool                                                                        5        5     5         5     
football                                                                    17       17    17        17    
forest cyclops                                                              10       10    10        10    
forest wizard                                                               18       18    18        18    
fox #1                                                                      1        1     1         1     
fox #2                                                                      1        1     1         1     
fox #3                                                                      1        1     1         1     
frog                                                                        11       11    11        11    
frozen yogurt princess                                                      1        1     1         1     
furnius                                                                     14       14    14        14    
furnius & torcho                                                            1        1     1         1     
future finn                                                                 2        2     2         2     
future jake                                                                 1        1     1         1     
fuzzy friends                                                               1        1     1         1     
gamergate                                                                   3        3     3         3     
garbage cube                                                                2        2     2         2     
gareth                                                                      10       10    10        10    
gary                                                                        3        3     3         3     
gate guardian                                                               7        7     7         7     
gatekeeper                                                                  1        1     1         1     
general tarsal                                                              12       12    12        12    
georgy                                                                      12       12    12        12    
ghost                                                                       6        6     6         6     
ghost announcer                                                             1        1     1         1     
ghost fly                                                                   7        7     7         7     
ghost jake                                                                  1        1     1         1     
ghost man                                                                   8        8     8         8     
ghost princess                                                              22       22    22        22    
ghost princess [in flashback]                                               2        2     2         2     
ghost soup                                                                  2        2     2         2     
giant insect monster                                                        1        1     1         1     
giant jake                                                                  1        1     1         1     
giant mutant                                                                1        1     1         1     
gingerbread actor                                                           1        1     1         1     
giraffe hyooman                                                             1        1     1         1     
glasses                                                                     3        3     3         3     
glob                                                                        8        8     8         8     
gnome 1                                                                     1        1     1         1     
gnome 2                                                                     1        1     1         1     
gnome knight                                                                1        1     1         1     
gnome ruler                                                                 13       13    13        13    
gnome tenant                                                                2        2     2         2     
gnomes                                                                      3        3     3         3     
gob                                                                         6        6     6         6     
goblin                                                                      8        8     8         8     
goblin guard 1                                                              3        3     3         3     
goblin guard 2 (jeff)                                                       3        3     3         3     
goblin in the pit                                                           1        1     1         1     
goblin thief #1                                                             1        1     1         1     
goblin thief #2                                                             2        2     2         2     
goblin with cane                                                            1        1     1         1     
goblin with hammer                                                          1        1     1         1     
goblins                                                                     10       10    10        10    
goblins around the sink                                                     1        1     1         1     
goji berry man                                                              6        6     6         6     
golem                                                                       1        1     1         1     
goliad                                                                      21       21    21        21    
goose                                                                       15       15    15        15    
gork                                                                        14       14    14        14    
grand master wizard                                                         27       27    27        27    
grand master wizard & ron james                                             1        1     1         1     
grass demon                                                                 1        1     1         1     
grass lard                                                                  4        4     4         4     
grass person                                                                1        1     1         1     
grassy wizard                                                               5        5     5         5     
green bmo                                                                   1        1     1         1     
green gumdrop dude                                                          3        3     3         3     
green lollipop girl                                                         3        3     3         3     
gridface princess                                                           1        1     1         1     
grimby                                                                      2        2     2         2     
grob                                                                        4        4     4         4     
grob gob glob grod                                                          18       18    18        18    
grod                                                                        3        3     3         3     
group of skeletons                                                          1        1     1         1     
guard                                                                       2        2     2         2     
guard 1                                                                     1        1     1         1     
guard 3                                                                     2        2     2         2     
guardian #1                                                                 1        1     1         1     
guardian 1                                                                  5        5     5         5     
guardian 2                                                                  2        2     2         2     
guardian angel                                                              10       10    10        10    
guardian of the mountain                                                    5        5     5         5     
guards                                                                      1        1     1         1     
gumbald                                                                     19       19    19        19    
gumbald's cabin                                                             3        3     3         3     
gumball guardian                                                            22       22    22        22    
gumball guardian #1                                                         2        2     2         2     
gumball guardian #2                                                         2        2     2         2     
gumball guardians                                                           4        4     4         4     
gumdrop dad                                                                 2        2     2         2     
gumdrop guy                                                                 4        4     4         4     
gumdrop lass 1                                                              4        4     4         4     
gumdrop lass 2                                                              1        1     1         1     
gumdrop lasses                                                              1        1     1         1     
gumdrop teenager                                                            2        2     2         2     
gummy                                                                       38       38    38        38    
gunter                                                                      43       43    43        43    
gunthalina                                                                  1        1     1         1     
gunther                                                                     27       27    27        27    
guy                                                                         1        1     1         1     
guy #1                                                                      2        2     2         2     
hag                                                                         5        5     5         5     
hair ape                                                                    4        4     4         4     
half monster demon                                                          1        1     1         1     
hallucination of princess bubblegum                                         1        1     1         1     
halt                                                                        1        1     1         1     
ham sandwich                                                                1        1     1         1     
hambo                                                                       3        3     3         3     
hat                                                                         2        2     2         2     
hatchlings                                                                  2        2     2         2     
head                                                                        6        6     6         6     
head clown nurse                                                            12       12    12        12    
head marauder                                                               3        3     3         3     
head marauder                                                               11       11    11        11    
hierophant                                                                  23       23    23        23    
hobo                                                                        1        1     1         1     
hobos                                                                       1        1     1         1     
holo-margaret                                                               3        3     3         3     
holo-pendant                                                                3        3     3         3     
hooligan                                                                    3        3     3         3     
hooligans                                                                   1        1     1         1     
hooligans carrying candle                                                   1        1     1         1     
host                                                                        4        4     4         4     
hot dog knight #1                                                           5        5     5         5     
hot dog knight #2                                                           7        7     7         7     
hot dog knight #3                                                           4        4     4         4     
hot dog knight #4                                                           5        5     5         5     
hot dog knights                                                             7        7     7         7     
hot dog princess                                                            5        5     5         5     
house people                                                                1        1     1         1     
howard                                                                      3        3     3         3     
huge king                                                                   7        7     7         7     
hunny bunny                                                                 1        1     1         1     
hunson                                                                      16       16    16        16    
hunson abadeer                                                              8        8     8         8     
huntress wizard                                                             2        2     2         2     
hyoomans                                                                    2        2     2         2     
hyperion                                                                    1        1     1         1     
ice cream                                                                   24       24    24        24    
ice cream guy                                                               1        1     1         1     
ice cream lady                                                              1        1     1         1     
ice cube creature                                                           1        1     1         1     
ice imp                                                                     3        3     3         3     
ice king                                                                    956      956   956       956   
ice king & abracadaniel                                                     1        1     1         1     
ice king & marceline                                                        2        2     2         2     
ice king (party god)                                                        7        7     7         7     
ice king [flashback]                                                        1        1     1         1     
ice king [in flashback]                                                     3        3     3         3     
ice king [off-screen]                                                       2        2     2         2     
ice king [on tape]                                                          10       10    10        10    
ice king [voice-over]                                                       1        1     1         1     
ice king and abracadaniel                                                   1        1     1         1     
ice king's crown                                                            1        1     1         1     
ice queen                                                                   9        9     9         9     
ice thing                                                                   1        1     1         1     
ice toads                                                                   1        1     1         1     
imaginary finn & jake                                                       1        1     1         1     
imaginary joshua                                                            3        3     3         3     
imaginary neptr                                                             2        2     2         2     
immortal maize walker                                                       2        2     2         2     
isla de señorita                                                            38       38    38        38    
jail house                                                                  4        4     4         4     
jake                                                                        4970     4970  4970      4970  
jake & banana man                                                           1        1     1         1     
jake & bmo                                                                  1        1     1         1     
jake & his subconscious                                                     1        1     1         1     
jake & lady                                                                 1        1     1         1     
jake & punch bowl                                                           1        1     1         1     
jake & tree trunks                                                          1        1     1         1     
jake (in flashback)                                                         3        3     3         3     
jake (voiceover)                                                            1        1     1         1     
jake [as magic man]                                                         1        1     1         1     
jake [as sandwich puppet]                                                   1        1     1         1     
jake [fake finn]                                                            11       11    11        11    
jake [in bmo's dream]                                                       1        1     1         1     
jake [in flashback]                                                         3        3     3         3     
jake [koala]                                                                1        1     1         1     
jake [offscreen]                                                            1        1     1         1     
jake [on phone]                                                             2        2     2         2     
jake [on voicemail]                                                         1        1     1         1     
jake [the one watching the video]                                           1        1     1         1     
jake [voice-over]                                                           1        1     1         1     
jake and finn                                                               1        1     1         1     
jake and princess bubblegum                                                 1        1     1         1     
jake as finn                                                                1        1     1         1     
jake jr.                                                                    30       30    30        30    
jake person                                                                 2        2     2         2     
jake's elbow                                                                1        1     1         1     
jake's subconscious                                                         7        7     7         7     
jalapeño pepper                                                             12       12    12        12    
jam jam                                                                     3        3     3         3     
jamaica                                                                     7        7     7         7     
james                                                                       25       25    25        25    
james baxter                                                                4        4     4         4     
james ii                                                                    10       10    10        10    
james' clone                                                                3        3     3         3     
jameses                                                                     4        4     4         4     
jay                                                                         5        5     5         5     
jay & bonnie                                                                4        4     4         4     
jaybird                                                                     9        9     9         9     
jaybird & dr. j                                                             1        1     1         1     
jermaine                                                                    9        9     9         9     
jerry                                                                       3        3     3         3     
jiggler                                                                     4        4     4         4     
john                                                                        6        6     6         6     
johnnie                                                                     33       33    33        33    
jordan                                                                      2        2     2         2     
jordan's head                                                               1        1     1         1     
joshua                                                                      44       44    44        44    
joshua [on tape]                                                            16       16    16        16    
joshua [on tapes, which are being tampered with by jake]                    1        1     1         1     
kee-oth                                                                     37       37    37        37    
kenneth                                                                     5        5     5         5     
kenneth, banana guard, nurse pound cake & science                           1        1     1         1     
kent                                                                        32       32    32        32    
key-per                                                                     8        8     8         8     
kid 1                                                                       4        4     4         4     
kidnapper                                                                   6        6     6         6     
kim                                                                         6        6     6         6     
kim kil whan                                                                30       30    30        30    
king man                                                                    8        8     8         8     
king of ooo                                                                 101      101   101       101   
king of ooo & toronto                                                       2        2     2         2     
king worm                                                                   11       11    11        11    
knight 1                                                                    1        1     1         1     
knight 1                                                                    1        1     1         1     
krusty                                                                      1        1     1         1     
lady                                                                        56       56    56        56    
lady and finn                                                               1        1     1         1     
lady rainicorn                                                              59       59    59        59    
lady wizard #1                                                              1        1     1         1     
lady, finn                                                                  1        1     1         1     
ladybug kid                                                                 1        1     1         1     
ladybug lady                                                                1        1     1         1     
large prisoner                                                              2        2     2         2     
laser wizard                                                                7        7     7         7     
lauren                                                                      6        6     6         6     
lawyer                                                                      1        1     1         1     
leaf                                                                        1        1     1         1     
leaf beard                                                                  8        8     8         8     
legs                                                                        3        3     3         3     
lemon camel                                                                 1        1     1         1     
lemon children                                                              1        1     1         1     
lemon head                                                                  1        1     1         1     
lemon person                                                                2        2     2         2     
lemongrab                                                                   126      126   126       126   
lemongrab 2                                                                 45       45    45        45    
lemongrab 3                                                                 3        3     3         3     
lemongrab clone                                                             7        7     7         7     
lemongrabs                                                                  2        2     2         2     
lemonhope                                                                   49       49    49        49    
lemonjon                                                                    8        8     8         8     
lenny                                                                       7        7     7         7     
lenny the beaver                                                            1        1     1         1     
lester                                                                      2        2     2         2     
lich                                                                        2        2     2         2     
lich/jake                                                                   2        2     2         2     
lich/sweet p                                                                1        1     1         1     
limo driver                                                                 1        1     1         1     
line demon                                                                  3        3     3         3     
lisby                                                                       6        6     6         6     
little buddy                                                                6        6     6         6     
little candy person                                                         1        1     1         1     
little dude                                                                 16       16    16        16    
little finn                                                                 1        1     1         1     
lizard                                                                      1        1     1         1     
lizard princess                                                             2        2     2         2     
lollipop girl                                                               4        4     4         4     
lolly                                                                       3        3     3         3     
long-haired nymph                                                           4        4     4         4     
long-legged tenant                                                          1        1     1         1     
lord monochromicorn                                                         1        1     1         1     
lord of evil                                                                33       33    33        33    
loudspeaker                                                                 1        1     1         1     
love buddies                                                                1        1     1         1     
lsp                                                                         68       68    68        68    
lumpy servants                                                              1        1     1         1     
lumpy space king                                                            11       11    11        11    
lumpy space messenger                                                       1        1     1         1     
lumpy space person                                                          2        2     2         2     
lumpy space prince                                                          51       51    51        51    
lumpy space princess                                                        362      362   362       362   
lumpy space princess & marceline                                            1        1     1         1     
lumpy space princess [voice-over]                                           8        8     8         8     
lumpy space queen                                                           15       15    15        15    
mabel                                                                       1        1     1         1     
maja                                                                        35       35    35        35    
male audience member                                                        1        1     1         1     
male fat villager                                                           1        1     1         1     
male flame person                                                           2        2     2         2     
male voice                                                                  3        3     3         3     
male worker                                                                 7        7     7         7     
mama bird                                                                   1        1     1         1     
man                                                                         11       11    11        11    
man 2                                                                       1        1     1         1     
man behind the counter                                                      2        2     2         2     
man in movie                                                                2        2     2         2     
manfried                                                                    17       17    17        17    
mannish man                                                                 7        7     7         7     
marauder                                                                    7        7     7         7     
